% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
46.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Screen Media Films,Screen Media Films,All Others (101 Total),All Others (101 Total),10,28,19,610 / 788,610,Memory: The Origins of Alien,Memory: The Origins of Alien,04/10/2019,04/10/2019,19,0K,21,$0.0 Million,10,11,1,0,,31378,1,14704,35805,610,31378,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),3,5,-,611 / 788,611,Buddy,Buddy,20/03/2019,20/03/2019,4,0K,21,$0.0 Million,3,11,1,0,,31203,1,0,60317,611,31203,$0.0M,,$0M
27.20%,All Others (101 Total),,NADA,NADA,Month,15/08/2019,97,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),5,8,1,612 / 788,612,Pasolini,Pasolini,10/05/2019,10/05/2019,4,0K,21,$0.0 Million,5,11,1,0,,30757,1,8362,70493,612,30757,$0.0M,,$0M
21.40%,All Others (101 Total),,NADA,NADA,Month,09/05/2019,84,Strand Releasing,Strand Releasing,All Others (101 Total),All Others (101 Total),2,11,1,613 / 788,613,Sorry Angel,Sorry Angel,14/02/2019,14/02/2019,4,0K,21,$0.0 Million,2,11,1,0,,30628,1,6559,4742,613,30628,$0.0M,,$0M
18.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),8,9,2,614 / 788,614,Los Reyes,Los Reyes,16/08/2019,16/08/2019,4,0K,21,$0.0 Million,8,11,1,0,,30418,1,5661,71787,614,30418,$0.0M,,$0M
20.70%,All Others (101 Total),,NADA,NADA,Month,10/03/2019,66,Rialto Pictures,Rialto Pictures,All Others (101 Total),All Others (101 Total),1,7,1,615 / 788,615,The Nun,The Nun,03/01/2019,03/01/2019,5,0K,21,$0.0 Million,1,11,1,0,,30245,1,6273,90128,615,30245,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,28,-,616 / 788,616,Lionel Richie at Glastonbury,Lionel Richie at Glastonbury,19/11/2019,19/11/2019,288,0K,21,$0.0 Million,11,11,1,0,,30123,1,0,69877,616,30123,$0.0M,,$0M
26.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Rialto Pictures,Rialto Pictures,All Others (101 Total),All Others (101 Total),11,24,1,617 / 788,617,Kind Hearts and Coronets,Kind Hearts and Coronets,27/11/2019,27/11/2019,1,0K,21,$0.0 Million,11,11,1,0,,29724,1,8004,24022,617,29724,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,13/06/2019,6,None Listed,-,All Others (101 Total),All Others (101 Total),6,5,-,618 / 788,618,Vault,Vault,07/06/2019,07/06/2019,2,0K,21,$0.0 Million,6,11,1,0,,29491,1,0,79637,618,29491,$0.0M,,$0M
11.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Strand Releasing,Strand Releasing,All Others (101 Total),All Others (101 Total),7,26,1,619 / 788,619,The Ground Beneath My Feet,The Ground Beneath My Feet,26/07/2019,26/07/2019,4,0K,21,$0.0 Million,7,11,1,0,,29251,1,3295,58436,619,29251,$0.0M,,$0M
14.80%,All Others (101 Total),,NADA,NADA,Month,11/07/2019,6,Balcony Releasing,Balcony Releasing,All Others (101 Total),All Others (101 Total),7,16,3,620 / 788,620,The Cat Rescuers,The Cat Rescuers,05/07/2019,05/07/2019,3,0K,21,$0.0 Million,7,11,1,0,,28698,1,4252,40441,620,28698,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,14/05/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,14,-,621 / 788,621,Batman & Robin,Batman & Robin,14/05/2019,14/05/2019,429,0K,21,$0.0 Million,5,11,1,0,,28597,1,0,71261,621,28597,$0.0M,,$0M
3.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Music Box Films,Music Box Films,All Others (101 Total),All Others (101 Total),6,13,1,622 / 788,622,In the Aisles,In the Aisles,14/06/2019,14/06/2019,6,0K,21,$0.0 Million,6,11,1,0,,28394,1,922,22602,622,28394,$0.0M,,$0M
19.50%,All Others (101 Total),,NADA,NADA,Month,27/06/2019,133,The Cinema Guild,The Cinema Guild,All Others (101 Total),All Others (101 Total),2,18,1,623 / 788,623,Hotel by the River,Hotel by the River,14/02/2019,14/02/2019,4,0K,21,$0.0 Million,2,11,1,0,,28354,1,5534,29450,623,28354,$0.0M,,$0M
50%,All Others (101 Total),,NADA,NADA,Month,18/04/2019,13,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),4,8,30,624 / 788,624,The Wind,The Wind,05/04/2019,05/04/2019,30,0K,21,$0.0 Million,4,11,1,0,,28252,1,14138,38877,624,28252,$0.0M,,$0M
14.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),8,8,1,625 / 788,625,The Load,The Load,30/08/2019,30/08/2019,2,0K,21,$0.0 Million,8,11,1,0,,28118,1,4094,65867,625,28118,$0.0M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),9,8,179,626 / 788,626,El Norte,El Norte,15/09/2019,15/09/2019,179,0K,21,$0.0 Million,9,11,1,0,,27920,1,27920,91472,626,27920,$0.0M,,$0M
15.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),5,53,1,627 / 788,627,"Leaving Home, Coming Home: A Portrait of Robert Frank","Leaving Home, Coming Home: A Portrait of Robert Frank",29/05/2019,29/05/2019,3,0K,21,$0.0 Million,5,11,1,0,,27073,1,4248,57239,627,27073,$0.0M,,$0M
55.10%,All Others (101 Total),,NADA,NADA,Month,,NA,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),9,18,30,628 / 788,628,The Day Shall Come,The Day Shall Come,27/09/2019,27/09/2019,30,0K,21,$0.0 Million,9,11,1,0,,26972,1,14854,1808,628,26972,$0.0M,,$0M
22.70%,All Others (101 Total),,NADA,NADA,Month,21/04/2019,59,Oscilloscope,Oscilloscope,All Others (101 Total),All Others (101 Total),2,7,1,629 / 788,629,Wrestle,Wrestle,21/02/2019,21/02/2019,5,0K,21,$0.0 Million,2,11,1,0,,26597,1,6027,93189,629,26597,$0.0M,,$0M
37.30%,All Others (101 Total),,NADA,NADA,Month,26/02/2019,12,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),2,10,80,630 / 788,630,Donnybrook,Donnybrook,14/02/2019,14/02/2019,80,0K,21,$0.0 Million,2,11,1,0,,26284,1,9802,73395,630,26284,$0.0M,,$0M
22.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),5,12,2,631 / 788,631,Asako I & II,Asako I & II,17/05/2019,17/05/2019,3,0K,21,$0.0 Million,5,11,1,0,,25328,1,5690,33357,631,25328,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),1,14,-,632 / 788,632,The Final Wish,The Final Wish,23/01/2019,23/01/2019,150,0K,21,$0.0 Million,1,11,1,0,,25183,1,0,47369,632,25183,$0.0M,,$0M
13.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Five & Two Pictures,Five & Two Pictures,All Others (101 Total),All Others (101 Total),10,16,1,633 / 788,633,The Perfect Race,The Perfect Race,14/10/2019,14/10/2019,2,0K,21,$0.0 Million,10,11,1,0,,24729,1,3400,54461,633,24729,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Metrograph Pictures,Metrograph Pictures,All Others (101 Total),All Others (101 Total),4,6,-,634 / 788,634,Hyènes,Hyènes,19/04/2019,19/04/2019,4,0K,21,$0.0 Million,4,11,1,0,,24672,1,0,47516,634,24672,$0.0M,,$0M
40.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Atlas Distribution Company,Atlas Distribution Company,All Others (101 Total),All Others (101 Total),9,16,4,635 / 788,635,Chasing Einstein,Chasing Einstein,13/09/2019,13/09/2019,4,0K,21,$0.0 Million,9,11,1,0,,24057,1,9708,37450,635,24057,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),12,30,-,636 / 788,636,The Disappearance of My Mother,The Disappearance of My Mother,06/12/2019,06/12/2019,3,0K,21,$0.0 Million,12,11,1,0,,23879,1,0,94385,636,23879,$0.0M,,$0M
44.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),12,10,12,637 / 788,637,Little Joe,Little Joe,06/12/2019,06/12/2019,12,0K,21,$0.0 Million,12,11,1,0,,23862,1,10626,58871,637,23862,$0.0M,,$0M
12.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Music Box Films,Music Box Films,All Others (101 Total),All Others (101 Total),8,8,1,638 / 788,638,Piranhas,Piranhas,02/08/2019,02/08/2019,10,0K,21,$0.0 Million,8,11,1,0,,23494,1,2898,29933,638,23494,$0.0M,,$0M
20.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),11,16,2,639 / 788,639,Light from Light,Light from Light,01/11/2019,01/11/2019,5,0K,21,$0.0 Million,11,11,1,0,,23189,1,4719,24715,639,23189,$0.0M,,$0M
14.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),11,7,4,640 / 788,640,Tremors,Tremors,29/11/2019,29/11/2019,6,0K,21,$0.0 Million,11,11,1,0,,23136,1,3340,84688,640,23136,$0.0M,,$0M
23%,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),11,7,1,641 / 788,641,Redoubt,Redoubt,01/11/2019,01/11/2019,2,0K,21,$0.0 Million,11,11,1,0,,22875,1,5253,89336,641,22875,$0.0M,,$0M
22.30%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),10,11,1,642 / 788,642,Celebration,Celebration,02/10/2019,02/10/2019,1,0K,21,$0.0 Million,10,11,1,0,,22557,1,5034,60935,642,22557,$0.0M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Nocturnal Features,Nocturnal Features,All Others (101 Total),All Others (101 Total),8,14,10,643 / 788,643,Wicked Witches,Wicked Witches,09/08/2019,09/08/2019,10,0K,21,$0.0 Million,8,11,1,0,,21600,1,21600,96356,643,21600,$0.0M,,$0M
-,A24,,NADA,NADA,Month,07/03/2019,6,A24,A24,A24,A24,3,22,-,644 / 788,644,The Hole in the Ground,The Hole in the Ground,01/03/2019,01/03/2019,24,0K,21,$0.0 Million,3,11,1,0,,21072,1,0,61847,644,21072,$0.0M,,$0M
20.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Ammo Content,Ammo Content,All Others (101 Total),All Others (101 Total),6,18,4,645 / 788,645,Round of Your Life,Round of Your Life,21/06/2019,21/06/2019,9,0K,21,$0.0 Million,6,11,1,0,,20941,1,4336,98186,645,20941,$0.0M,,$0M
38.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Abramorama,Abramorama,All Others (101 Total),All Others (101 Total),11,17,3,646 / 788,646,The All Americans,The All Americans,08/11/2019,08/11/2019,5,0K,21,$0.0 Million,11,11,1,0,,20324,1,7805,40009,646,20324,$0.0M,,$0M
46.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Saban Films,Saban Films,All Others (101 Total),All Others (101 Total),8,16,28,647 / 788,647,Light of My Life,Light of My Life,09/08/2019,09/08/2019,68,0K,21,$0.0 Million,8,11,1,0,,20056,1,9358,59349,647,20056,$0.0M,,$0M
11.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Gravitas Ventures,Gravitas Ventures,All Others (101 Total),All Others (101 Total),5,13,5,648 / 788,648,General Magic,General Magic,10/05/2019,10/05/2019,5,0K,21,$0.0 Million,5,11,1,0,,20046,1,2267,73590,648,20046,$0.0M,,$0M
17.60%,All Others (101 Total),,NADA,NADA,Month,11/04/2019,63,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),2,20,1,649 / 788,649,The Gospel of Eureka,The Gospel of Eureka,07/02/2019,07/02/2019,3,0K,21,$0.0 Million,2,11,1,0,,20039,1,3517,19629,649,20039,$0.0M,,$0M
27.20%,All Others (101 Total),,NADA,NADA,Month,,NA,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),9,20,2,650 / 788,650,The Sound of Silence,The Sound of Silence,13/09/2019,13/09/2019,31,0K,21,$0.0 Million,9,11,1,0,,20013,1,5449,10049,650,20013,$0.0M,,$0M
63.70%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),9,11,32,651 / 788,651,Prassthanam,Prassthanam,20/09/2019,20/09/2019,32,0K,21,$0.0 Million,9,11,1,0,,19984,1,12737,62453,651,19984,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Ammo Content,Ammo Content,All Others (101 Total),All Others (101 Total),8,31,25,652 / 788,652,Leo Da Vinci: Mission Mona Lisa,Leo Da Vinci: Mission Mona Lisa,02/08/2019,02/08/2019,25,0K,21,$0.0 Million,8,11,1,0,,19978,1,19978,76710,652,19978,$0.0M,,$0M
15.60%,All Others (101 Total),,NADA,NADA,Month,25/07/2019,13,Gravitas Ventures,Gravitas Ventures,All Others (101 Total),All Others (101 Total),7,9,12,653 / 788,653,Armstrong,Armstrong,12/07/2019,12/07/2019,45,0K,21,$0.0 Million,7,11,1,0,,19740,1,3071,92951,653,19740,$0.0M,,$0M
39.60%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,13,Cohen Media Group,Cohen Media Group,All Others (101 Total),All Others (101 Total),4,16,8,654 / 788,654,Girls of the Sun,Girls of the Sun,12/04/2019,12/04/2019,11,0K,21,$0.0 Million,4,11,1,0,,19712,1,7801,70647,654,19712,$0.0M,,$0M
62.40%,All Others (101 Total),,NADA,NADA,Month,28/03/2019,6,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),3,11,35,655 / 788,655,Out of Blue,Out of Blue,22/03/2019,22/03/2019,35,0K,21,$0.0 Million,3,11,1,0,,18779,1,11719,55468,655,18779,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,13/06/2019,96,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),3,12,-,656 / 788,656,Black Mother,Black Mother,09/03/2019,09/03/2019,4,0K,21,$0.0 Million,3,11,1,0,,18762,1,0,44151,656,18762,$0.0M,,$0M
57.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),11,51,12,657 / 788,657,Scandalous: The True Story of the National Enquirer,Scandalous: The True Story of the National Enquirer,15/11/2019,15/11/2019,13,0K,21,$0.0 Million,11,11,1,0,,18759,1,10837,40119,657,18759,$0.0M,,$0M
24.50%,All Others (101 Total),,NADA,NADA,Month,11/07/2019,20,First Run,First Run,All Others (101 Total),All Others (101 Total),6,16,1,658 / 788,658,Before Stonewall,Before Stonewall,21/06/2019,21/06/2019,2,0K,21,$0.0 Million,6,11,1,0,,18724,1,4588,25648,658,18724,$0.0M,,$0M
46.70%,All Others (101 Total),,NADA,NADA,Month,18/07/2019,13,Cohen Media Group,Cohen Media Group,All Others (101 Total),All Others (101 Total),7,27,2,659 / 788,659,The Return of Martin Guerre,The Return of Martin Guerre,05/07/2019,05/07/2019,2,0K,21,$0.0 Million,7,11,1,0,,18603,1,8682,70727,659,18603,$0.0M,,$0M
58.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),9,14,13,660 / 788,660,Midnight Diner,Midnight Diner,20/09/2019,20/09/2019,13,0K,21,$0.0 Million,9,11,1,0,,18555,1,10861,38885,660,18555,$0.0M,,$0M
16.20%,All Others (101 Total),,NADA,NADA,Month,20/06/2019,49,Joma Films,Joma Films,All Others (101 Total),All Others (101 Total),5,15,1,661 / 788,661,"Phoenix, Oregon","Phoenix, Oregon",02/05/2019,02/05/2019,6,0K,21,$0.0 Million,5,11,1,0,,18356,1,2981,93934,661,18356,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Janus Films,Janus Films,All Others (101 Total),All Others (101 Total),7,21,-,662 / 788,662,The Cranes Are Flying,The Cranes Are Flying,12/07/2019,12/07/2019,2,0K,21,$0.0 Million,7,11,1,0,,17923,1,0,68423,662,17923,$0.0M,,$0M
42.50%,All Others (101 Total),,NADA,NADA,Month,08/01/2019,-248,Kino International,Kino International,All Others (101 Total),All Others (101 Total),9,16,2,663 / 788,663,Chained for Life,Chained for Life,13/09/2019,13/09/2019,3,0K,21,$0.0 Million,9,11,1,0,,17431,1,7415,15831,663,17431,$0.0M,,$0M
20.60%,All Others (101 Total),,NADA,NADA,Month,,NA,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),8,10,2,664 / 788,664,Ode to Joy,Ode to Joy,09/08/2019,09/08/2019,16,0K,21,$0.0 Million,8,11,1,0,,17303,1,3568,89151,664,17303,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,16/05/2019,96,Icarus Films,Icarus Films,All Others (101 Total),All Others (101 Total),2,36,-,665 / 788,665,Bauhaus Spirit: 100 Years of Bauhaus,Bauhaus Spirit: 100 Years of Bauhaus,09/02/2019,09/02/2019,2,0K,21,$0.0 Million,2,11,1,0,,17122,1,0,17690,665,17122,$0.0M,,$0M
33.50%,All Others (101 Total),,NADA,NADA,Month,17/03/2019,16,First Run,First Run,All Others (101 Total),All Others (101 Total),3,36,1,666 / 788,666,Joseph Pulitzer: Voice of the People,Joseph Pulitzer: Voice of the People,01/03/2019,01/03/2019,5,0K,21,$0.0 Million,3,11,1,0,,16970,1,5686,15077,666,16970,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Distrib Films,Distrib Films,All Others (101 Total),All Others (101 Total),9,6,-,667 / 788,667,Ballon,Ballon,06/09/2019,06/09/2019,5,0K,21,$0.0 Million,9,11,1,0,,16792,1,0,24595,667,16792,$0.0M,,$0M
37.30%,All Others (101 Total),,NADA,NADA,Month,13/06/2019,13,None Listed,-,All Others (101 Total),All Others (101 Total),5,21,1,668 / 788,668,Too Late to Die Young,Too Late to Die Young,31/05/2019,31/05/2019,4,0K,21,$0.0 Million,5,11,1,0,,16591,1,6196,44072,668,16591,$0.0M,,$0M
8.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),6,11,1,669 / 788,669,Three Peaks,Three Peaks,28/06/2019,28/06/2019,7,0K,21,$0.0 Million,6,11,1,0,,16216,1,1419,97298,669,16216,$0.0M,,$0M
23.80%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,62,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),3,18,2,670 / 788,670,Virginia Minnesota,Virginia Minnesota,01/03/2019,01/03/2019,2,0K,21,$0.0 Million,3,11,1,0,,16118,1,3844,95276,670,16118,$0.0M,,$0M
55.20%,All Others (101 Total),,NADA,NADA,Month,13/02/2019,13,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),1,8,18,671 / 788,671,Piercing,Piercing,31/01/2019,31/01/2019,18,0K,21,$0.0 Million,1,11,1,0,,15856,1,8752,36747,671,15856,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,25/04/2019,41,Yellow Veil Pictures,Yellow Veil Pictures,All Others (101 Total),All Others (101 Total),3,8,-,672 / 788,672,Starfish,Starfish,15/03/2019,15/03/2019,6,0K,21,$0.0 Million,3,11,1,0,,15849,1,0,62399,672,15849,$0.0M,,$0M
94.50%,All Others (101 Total),,NADA,NADA,Month,01/04/2019,3,Atlas Distribution Company,Atlas Distribution Company,All Others (101 Total),All Others (101 Total),3,57,18,673 / 788,673,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,29/03/2019,29/03/2019,95,0K,21,$0.0 Million,3,11,1,0,,15712,1,14853,52138,673,15712,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Metrograph Pictures,Metrograph Pictures,All Others (101 Total),All Others (101 Total),2,15,-,674 / 788,674,The Competition,The Competition,21/02/2019,21/02/2019,7,0K,21,$0.0 Million,2,11,1,0,,15622,1,0,2844,674,15622,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Cohen Media Group,Cohen Media Group,All Others (101 Total),All Others (101 Total),2,17,1,675 / 788,675,Between the Lines,Between the Lines,21/02/2019,21/02/2019,18,0K,21,$0.0 Million,2,11,1,0,,15383,1,0,40532,675,15383,$0.0M,,$0M
12.30%,All Others (101 Total),,NADA,NADA,Month,11/07/2019,34,GKIDS,GKIDS,All Others (101 Total),All Others (101 Total),6,5,1,676 / 788,676,Funan,Funan,07/06/2019,07/06/2019,5,0K,21,$0.0 Million,6,11,1,0,,15152,1,1871,34166,676,15152,$0.0M,,$0M
189.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),10,18,21,677 / 788,677,Wrinkles the Clown,Wrinkles the Clown,04/10/2019,04/10/2019,21,0K,21,$0.0 Million,10,11,1,0,,14938,1,28248,1907,677,14938,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Abramorama,Abramorama,All Others (101 Total),All Others (101 Total),8,39,-,678 / 788,678,ZZ Top: That Little Ol' Band from Texas,ZZ Top: That Little Ol' Band from Texas,19/08/2019,19/08/2019,8,0K,21,$0.0 Million,8,11,1,0,,14879,1,0,10237,678,14879,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Monument Releasing,Monument Releasing,All Others (101 Total),All Others (101 Total),6,8,1,679 / 788,679,Our Time,Our Time,14/06/2019,14/06/2019,4,0K,21,$0.0 Million,6,11,1,0,,14777,1,3000,13809,679,14777,$0.0M,,$0M
32.90%,All Others (101 Total),,NADA,NADA,Month,27/05/2019,17,Cohen Media Group,Cohen Media Group,All Others (101 Total),All Others (101 Total),5,6,3,680 / 788,680,My Son,My Son,10/05/2019,10/05/2019,5,0K,21,$0.0 Million,5,11,1,0,,14450,1,4750,98799,680,14450,$0.0M,,$0M
71%,All Others (101 Total),,NADA,NADA,Month,04/04/2019,20,Oscilloscope,Oscilloscope,All Others (101 Total),All Others (101 Total),3,14,10,681 / 788,681,Combat Obscura,Combat Obscura,15/03/2019,15/03/2019,11,0K,21,$0.0 Million,3,11,1,0,,14242,1,10112,66309,681,14242,$0.0M,,$0M
61.50%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,27,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),3,9,13,682 / 788,682,Screwball,Screwball,29/03/2019,29/03/2019,13,0K,21,$0.0 Million,3,11,1,0,,13967,1,8595,65193,682,13967,$0.0M,,$0M
40.70%,All Others (101 Total),,NADA,NADA,Month,07/03/2019,56,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),1,12,1,683 / 788,683,Touch Me Not,Touch Me Not,10/01/2019,10/01/2019,1,0K,21,$0.0 Million,1,11,1,0,,13782,1,5616,42049,683,13782,$0.0M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),6,25,1,684 / 788,684,This One's for the Ladies,This One's for the Ladies,07/06/2019,07/06/2019,21,0K,21,$0.0 Million,6,11,1,0,,13688,1,13688,23236,684,13688,$0.0M,,$0M
12%,All Others (101 Total),,NADA,NADA,Month,,NA,Music Box Films,Music Box Films,All Others (101 Total),All Others (101 Total),10,7,1,685 / 788,685,Stuffed,Stuffed,16/10/2019,16/10/2019,3,0K,21,$0.0 Million,10,11,1,0,,13403,1,1602,1774,685,13403,$0.0M,,$0M
33.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Atlas Distribution Company,Atlas Distribution Company,All Others (101 Total),All Others (101 Total),9,14,8,686 / 788,686,Rapid Response,Rapid Response,06/09/2019,06/09/2019,10,0K,21,$0.0 Million,9,11,1,0,,13294,1,4497,94356,686,13294,$0.0M,,$0M
45.60%,All Others (101 Total),,NADA,NADA,Month,30/05/2019,41,Doppelganger Releasing,Doppelganger Releasing,All Others (101 Total),All Others (101 Total),4,9,11,687 / 788,687,Hagazussa,Hagazussa,19/04/2019,19/04/2019,14,0K,21,$0.0 Million,4,11,1,0,,13253,1,6041,23812,687,13253,$0.0M,,$0M
20.20%,All Others (101 Total),,NADA,NADA,Month,23/05/2019,69,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),3,10,2,688 / 788,688,Off Season,Off Season,15/03/2019,15/03/2019,2,0K,21,$0.0 Million,3,11,1,0,,12544,1,2536,19393,688,12544,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,GathrFilms,GathrFilms,All Others (101 Total),All Others (101 Total),1,7,-,689 / 788,689,Bricked,Bricked,23/01/2019,23/01/2019,7,0K,21,$0.0 Million,1,11,1,0,,12201,1,0,14393,689,12201,$0.0M,,$0M
10.50%,All Others (101 Total),,NADA,NADA,Month,20/06/2019,83,Zeitgeist Films,Zeitgeist Films,All Others (101 Total),All Others (101 Total),3,15,2,690 / 788,690,Zen for Nothing,Zen for Nothing,29/03/2019,29/03/2019,4,0K,21,$0.0 Million,3,11,1,0,,12107,1,1268,31586,690,12107,$0.0M,,$0M
36.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Cinema Libre Studio,Cinema Libre Studio,All Others (101 Total),All Others (101 Total),9,10,1,691 / 788,691,Imprisoned,Imprisoned,13/09/2019,13/09/2019,2,0K,21,$0.0 Million,9,11,1,0,,12050,1,4381,14296,691,12050,$0.0M,,$0M
42.80%,All Others (101 Total),,NADA,NADA,Month,19/05/2019,16,Cohen Media Group,Cohen Media Group,All Others (101 Total),All Others (101 Total),5,7,1,692 / 788,692,Quartet,Quartet,03/05/2019,03/05/2019,1,0K,21,$0.0 Million,5,11,1,0,,12042,1,5150,18753,692,12042,$0.0M,,$0M
19.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),7,23,1,693 / 788,693,"Cassandro, The Exotico!","Cassandro, The Exotico!",19/07/2019,19/07/2019,4,0K,21,$0.0 Million,7,11,1,0,,11897,1,2269,21342,693,11897,$0.0M,,$0M
